                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0236,                 14.056,                 4.2214,                0.00016,                0.01604,                0.00012,                  6e-05,                 6.4945,                 26.773,                 4.2094,                0.00052,                0.00052,                0.00052
                      2,                 4.6522,                 8.1365,                 3.4157,                0.00015,                0.01604,                 0.0001,                  5e-05,                 6.5248,                 21.625,                 4.3363,              0.0010495,              0.0010495,              0.0010495
                      3,                 3.7113,                 4.7019,                 2.5679,                0.00016,                0.01604,                0.00011,                  4e-05,                 6.5709,                 14.576,                 4.3139,              0.0015683,              0.0015683,              0.0015683
                      4,                 3.3611,                 3.6721,                 2.2144,                0.00129,                0.12142,                0.00122,                 0.0004,                 4.6642,                 7.6388,                 2.9393,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.0763,                 3.1713,                 1.9183,                0.27188,                0.25086,                0.15418,                0.04161,                 3.0218,                 3.2623,                 1.8972,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.9946,                 2.8933,                 1.8624,                0.34512,                0.34708,                0.23901,                0.07206,                 2.7835,                 2.7256,                 1.7182,               0.001901,               0.001901,               0.001901
                      7,                 2.8612,                 2.6667,                 1.7443,                0.36383,                0.32188,                0.26415,                0.09932,                 2.7784,                 2.4932,                 1.7027,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.7534,                 2.5409,                 1.7231,                0.47948,                0.34937,                0.33902,                0.11462,                  2.722,                 2.6505,                 1.6811,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.6249,                 2.3486,                 1.6758,                0.42789,                0.39748,                0.33459,                0.10054,                 2.5881,                 2.2415,                 1.5966,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.5969,                 2.1916,                 1.5521,                 0.5735,                0.42612,                0.44062,                0.16078,                 2.4129,                 1.9923,                 1.5216,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.5441,                 2.0751,                 1.5742,                0.62171,                 0.4685,                0.48771,                0.17982,                 2.4963,                 1.8451,                 1.5357,               0.001802,               0.001802,               0.001802
                     12,                 2.4214,                 1.9147,                 1.4389,                0.59257,                0.45475,                 0.4615,                0.17761,                 2.3597,                 1.9569,                 1.4947,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.4788,                 1.9898,                 1.5593,                0.67418,                0.45745,                0.50719,                0.19067,                 2.4341,                 1.7692,                 1.4982,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.4109,                 1.8361,                 1.4931,                0.48987,                0.42955,                0.39438,                0.11209,                 2.6657,                  1.933,                 1.5329,              0.0017426,              0.0017426,              0.0017426
                     15,                  2.335,                 1.7216,                 1.4244,                0.70346,                0.51086,                 0.5538,                0.21925,                 2.2781,                 1.6765,                 1.4212,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.2675,                 1.7048,                 1.3855,                0.69451,                0.53723,                0.59174,                0.21365,                 2.2203,                 1.5778,                 1.3774,               0.001703,               0.001703,               0.001703
                     17,                 2.3049,                 1.7148,                 1.4163,                0.78076,                0.53837,                0.61996,                0.23213,                 2.2274,                 1.5513,                 1.3742,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.2443,                  1.654,                 1.3624,                0.71348,                 0.5441,                0.55431,                0.22903,                 2.1643,                 1.4861,                 1.3798,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.1816,                 1.6152,                 1.3908,                0.74703,                0.53108,                0.61689,                0.21678,                 2.2891,                 1.5039,                 1.3915,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1577,                 1.5838,                 1.4011,                0.79163,                0.54754,                0.61708,                0.25129,                 2.1612,                 1.5465,                 1.3709,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.1913,                 1.5933,                 1.3696,                0.79485,                0.60252,                0.67343,                0.31527,                 1.9613,                 1.4997,                 1.3016,               0.001604,               0.001604,               0.001604
                     22,                 2.1294,                  1.463,                 1.2992,                0.75814,                0.57617,                0.64768,                 0.2495,                 2.1462,                 1.5164,                 1.3327,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0876,                 1.4856,                 1.3303,                0.81924,                0.63856,                0.71588,                0.30597,                 1.9652,                 1.3229,                 1.2688,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0804,                 1.4652,                 1.3454,                0.84042,                0.62737,                 0.7201,                0.32716,                 1.9039,                 1.2945,                 1.2607,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.0124,                 1.4307,                 1.3168,                0.82777,                0.60596,                0.67425,                0.28557,                 1.9927,                 1.4135,                 1.2885,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.0557,                 1.4231,                  1.334,                0.85816,                0.67239,                0.75302,                0.37146,                 1.8186,                 1.2046,                 1.2421,               0.001505,               0.001505,               0.001505
                     27,                 1.9842,                 1.2836,                 1.2812,                0.88855,                0.65756,                0.75393,                0.38492,                 1.7722,                 1.1234,                 1.2171,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.939,                 1.3214,                 1.3009,                0.86967,                 0.6701,                0.76079,                0.37707,                 1.7735,                 1.1556,                 1.2306,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.9975,                 1.3436,                 1.2848,                0.85114,                0.66781,                0.75287,                0.35924,                  1.804,                   1.22,                 1.2186,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.9321,                 1.3155,                 1.2559,                0.86264,                0.66901,                0.76075,                0.39105,                  1.706,                 1.1556,                 1.2003,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9068,                 1.2558,                 1.2257,                0.76428,                0.55326,                0.60598,                0.23505,                 2.2885,                 1.3118,                 1.4123,               0.001406,               0.001406,               0.001406
                     32,                 1.8885,                 1.2669,                 1.2631,                0.88701,                0.69072,                0.77979,                0.39657,                  1.793,                 1.1207,                 1.2257,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.8913,                 1.2458,                 1.2399,                0.87448,                0.68634,                0.76878,                0.38074,                 1.7872,                 1.1147,                  1.223,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.8632,                 1.2165,                  1.203,                0.90811,                0.65656,                0.78153,                0.40041,                 1.7442,                 1.1102,                 1.2009,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.8692,                 1.2365,                 1.2318,                0.90747,                0.70218,                0.79821,                0.42594,                 1.6482,                 1.0678,                 1.1715,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8209,                 1.1796,                 1.2475,                0.89406,                0.71478,                0.79862,                0.41134,                 1.7063,                 1.0731,                 1.2073,               0.001307,               0.001307,               0.001307
                     37,                 1.7844,                 1.1398,                 1.2065,                0.92539,                0.72452,                0.81203,                0.41769,                 1.6823,                 1.0865,                 1.1933,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8063,                 1.1696,                 1.2172,                0.88842,                0.69187,                 0.7735,                0.38579,                 1.7825,                 1.1231,                 1.2008,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8157,                 1.1912,                 1.2033,                0.91434,                 0.7205,                0.79801,                 0.4085,                  1.705,                 1.0394,                    1.2,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.7916,                 1.1325,                 1.2159,                0.91902,                0.70199,                0.80215,                0.39488,                 1.7981,                 1.0364,                 1.2076,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8119,                 1.1424,                 1.2043,                0.91543,                0.71916,                0.82078,                 0.4613,                 1.5875,                0.97905,                 1.1543,               0.001208,               0.001208,               0.001208
                     42,                 1.7451,                 1.0667,                 1.1645,                0.90333,                0.72786,                0.80262,                0.44519,                 1.6311,                 1.0301,                  1.176,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6935,                 1.0859,                 1.1694,                0.91661,                0.71592,                0.80932,                0.44868,                 1.6217,                 1.0266,                 1.1739,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7108,                 1.1075,                 1.2204,                0.89652,                0.72165,                0.80542,                0.43721,                 1.6072,                 1.0919,                 1.1592,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.6958,                  1.109,                  1.198,                0.91266,                0.73018,                0.82119,                0.42787,                 1.6682,                 1.0509,                 1.1654,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.759,                 1.1056,                 1.1881,                0.90401,                0.75258,                0.83876,                0.47211,                 1.5501,                0.94696,                 1.1302,               0.001109,               0.001109,               0.001109
                     47,                 1.7625,                 1.0706,                 1.1865,                0.93456,                0.75254,                0.84345,                0.47616,                 1.5742,                0.93948,                 1.1389,              0.0010892,              0.0010892,              0.0010892
                     48,                  1.755,                 1.0657,                 1.1814,                0.91302,                 0.7457,                0.84024,                0.43386,                 1.6635,                0.95883,                 1.1567,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.7028,                 1.0574,                 1.1622,                0.93806,                  0.748,                0.83678,                0.45642,                 1.5888,                0.99963,                 1.1445,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.6793,                 1.0125,                 1.1517,                0.91229,                0.76255,                 0.8438,                0.45275,                 1.6422,                0.94404,                 1.1586,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6935,                0.99774,                 1.1353,                0.92384,                0.73644,                 0.8234,                0.43682,                   1.69,                0.97033,                 1.1681,                0.00101,                0.00101,                0.00101
                     52,                 1.6676,                 1.0168,                 1.1672,                0.92281,                0.75945,                0.84528,                0.48775,                 1.5235,                0.91676,                  1.124,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.6319,                0.98653,                 1.1477,                0.94008,                0.76518,                0.85802,                0.49986,                 1.4711,                0.86827,                 1.1068,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.6436,                0.99437,                 1.1741,                0.95054,                0.76174,                0.85158,                 0.4863,                 1.4813,                 0.8823,                 1.1104,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6704,                 1.0137,                 1.1647,                0.90348,                0.76747,                0.84766,                0.50128,                 1.4629,                0.90751,                  1.109,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6156,                0.98428,                 1.1498,                0.92274,                0.79496,                0.86645,                0.49743,                 1.4746,                0.86704,                 1.0997,               0.000911,               0.000911,               0.000911
                     57,                 1.5957,                0.93832,                 1.1287,                0.94692,                0.75143,                0.84578,                0.49079,                 1.4874,                0.89116,                 1.1069,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.6116,                0.95574,                 1.1259,                0.94881,                0.78558,                0.87173,                0.52564,                 1.4071,                 0.8465,                 1.0788,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6124,                0.96466,                 1.1367,                0.94195,                0.78923,                0.85871,                0.51605,                 1.4268,                0.82069,                 1.0946,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.5643,                0.90527,                 1.1037,                0.92424,                0.79649,                0.86755,                 0.5088,                 1.4501,                0.86009,                 1.0915,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.5743,                0.92298,                 1.1115,                0.94206,                0.74112,                0.84025,                0.45636,                 1.5923,                0.94899,                 1.1234,               0.000812,               0.000812,               0.000812
                     62,                 1.5743,                0.92691,                 1.1068,                0.96532,                0.76517,                0.86921,                0.52877,                  1.395,                 0.8219,                 1.0843,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4991,                0.87499,                 1.0979,                0.93144,                 0.7626,                0.85823,                0.49143,                 1.5246,                0.88013,                 1.1084,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.5557,                0.90282,                 1.1219,                0.94512,                0.78912,                0.87335,                0.53951,                 1.3862,                0.80797,                 1.0774,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4886,                0.86328,                 1.1021,                0.95452,                0.79337,                0.87916,                0.53542,                 1.3898,                0.78054,                 1.0768,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5179,                0.85369,                 1.0776,                0.96206,                0.78923,                0.87935,                 0.5319,                 1.3919,                0.83564,                 1.0816,               0.000713,               0.000713,               0.000713
                     67,                 1.6104,                0.89886,                 1.1178,                0.95753,                0.80057,                0.88138,                0.52422,                 1.4655,                0.81053,                 1.0982,              0.0006932,              0.0006932,              0.0006932
